,threshold,method,tp,fp,fn,actual_p,precision_micro,precision_macro,recall_micro,recall_macro
1,0.1,clip,10.599216710182768,25072.400783289817,0.0,10.599216710182768,4.191229419305177e-06,0.00042256575011692253,0.0006527415143603133,0.75
3,0.11379310344827587,clip,10.599216710182768,25072.400783289817,0.0,10.599216710182768,4.191229419305177e-06,0.00042256575011692253,0.0006527415143603133,0.75
5,0.12758620689655173,clip,10.599216710182768,25072.400783289817,0.0,10.599216710182768,4.191229419305177e-06,0.00042256575011692253,0.0006527415143603133,0.75
7,0.1413793103448276,clip,10.599216710182768,25072.400783289817,0.0,10.599216710182768,4.191229419305177e-06,0.00042256575011692253,0.0006527415143603133,0.75
9,0.15517241379310345,clip,10.599216710182768,25072.400783289817,0.0,10.599216710182768,4.191229419305177e-06,0.00042256575011692253,0.0006527415143603133,0.75
11,0.16896551724137931,clip,10.599216710182768,25072.400783289817,0.0,10.599216710182768,4.191229419305177e-06,0.00042256575011692253,0.0006527415143603133,0.75
13,0.1827586206896552,clip,10.599216710182768,25072.400783289817,0.0,10.599216710182768,4.191229419305177e-06,0.00042256575011692253,0.0006527415143603133,0.75
15,0.19655172413793104,clip,10.599216710182768,25072.400783289817,0.0,10.599216710182768,4.191229419305177e-06,0.00042256575011692253,0.0006527415143603133,0.75
17,0.21034482758620693,clip,10.599216710182768,25072.39817232376,0.0,10.599216710182768,4.191229420327621e-06,0.00042256575841813495,0.0006527415143603133,0.75
19,0.22413793103448276,clip,10.599216710182768,25072.376631853786,0.0,10.599216710182768,4.191229430049662e-06,0.0004225658249010691,0.0006527415143603133,0.75
21,0.23793103448275865,clip,10.599216710182768,25072.201697127937,0.0,10.599216710182768,4.191229545248432e-06,0.00042256642032485086,0.0006527415143603133,0.75
23,0.25172413793103454,clip,10.599216710182768,25071.394255874675,0.0,10.599216710182768,4.1912468054310975e-06,0.0004225701345540476,0.0006527415143603133,0.75
25,0.2655172413793104,clip,10.599216710182768,25066.329634464753,0.0,10.599216710182768,4.191983801440011e-06,0.0004226177651964472,0.0006527415143603133,0.75
27,0.2793103448275862,clip,10.599216710182768,25030.3818537859,0.0,10.599216710182768,4.198113071338534e-06,0.00042302602674816674,0.0006527415143603133,0.75
29,0.2931034482758621,clip,10.599216710182768,24832.69908616188,0.0,10.599216710182768,4.223547937307889e-06,0.00042522171863744685,0.0006527415143603133,0.75
31,0.306896551724138,clip,10.599216710182768,24095.187989556136,0.0,10.599216710182768,4.277867440944411e-06,0.0004334511042177035,0.0006527415143603133,0.75
33,0.3206896551724138,clip,10.599216710182768,22273.737597911226,0.0,10.599216710182768,4.461136091054979e-06,0.00046185183373445934,0.0006527415143603133,0.75
35,0.33448275862068966,clip,10.595300261096606,19011.78720626632,0.0039164490861618795,10.599216710182768,5.377764397584642e-06,0.0005511771825259632,0.000652500323999052,0.748817391592212
37,0.34827586206896555,clip,10.578328981723237,14557.494125326371,0.020887728459530026,10.599216710182768,8.009156196875737e-06,0.0007757003864761695,0.0006514551657669194,0.7466165434038304
39,0.36206896551724144,clip,10.52284595300261,9756.967362924282,0.07637075718015666,10.599216710182768,1.374679906994849e-05,0.0012836013448797301,0.0006480383023157168,0.7376813318047253
41,0.3758620689655173,clip,10.346605744125327,5451.7558746736295,0.25261096605744127,10.599216710182768,2.6736590803016033e-05,0.0023998190250920956,0.0006371847360589558,0.710955607793734
43,0.3896551724137931,clip,9.889033942558747,2427.798955613577,0.7101827676240209,10.599216710182768,4.49195483951165e-05,0.004553154495825872,0.000609005662184921,0.6553232830312337
45,0.403448275862069,clip,7.939295039164491,910.0789817232376,2.6599216710182767,10.599216710182768,6.527272702711563e-05,0.008301680356157803,0.0004889330606703099,0.4734554821757899
47,0.4172413793103449,clip,3.230417754569191,260.6344647519582,7.368798955613577,10.599216710182768,8.656508632426879e-05,0.013220818425377754,0.00019894184964707416,0.17061104045705314
49,0.4310344827586208,clip,1.080939947780679,57.60248041775457,9.518276762402088,10.599216710182768,5.2850624591060144e-05,0.006958430301261775,6.656853970813394e-05,0.058322097942118796
51,0.44482758620689655,clip,0.08159268929503917,2.5528720626631856,10.517624020887729,10.599216710182768,1.9801389015521604e-05,0.00473264665193546,5.0247991929448925e-06,0.006035061893103643
53,0.45862068965517244,clip,0.0006527415143603133,0.050913838120104436,10.598563968668408,10.599216710182768,2.4362662753672206e-09,1.9780045889706464e-05,4.0198393543559144e-08,0.00032637075718015666
55,0.47241379310344833,clip,0.0,0.00587467362924282,10.599216710182768,10.599216710182768,0.0,0.0,0.0,0.0
57,0.4862068965517242,clip,0.0,0.0006527415143603133,10.599216710182768,10.599216710182768,0.0,0.0,0.0,0.0
59,0.5,clip,0.0,0.0,10.599216710182768,10.599216710182768,0.0,0.0,0.0,0.0
