,threshold,method,tp,fp,fn,actual_p,precision_micro,precision_macro,recall_micro,recall_macro
1,0.1,clip,369.23809523809524,2385.7619047619046,0.0,369.23809523809524,0.01370483924182571,0.13402471696482587,0.047619047619047616,1.0
3,0.11379310344827587,clip,369.23809523809524,2385.7619047619046,0.0,369.23809523809524,0.01370483924182571,0.13402471696482587,0.047619047619047616,1.0
5,0.12758620689655173,clip,369.23809523809524,2385.7619047619046,0.0,369.23809523809524,0.01370483924182571,0.13402471696482587,0.047619047619047616,1.0
7,0.1413793103448276,clip,369.23809523809524,2385.7619047619046,0.0,369.23809523809524,0.01370483924182571,0.13402471696482587,0.047619047619047616,1.0
9,0.15517241379310345,clip,369.23809523809524,2385.7619047619046,0.0,369.23809523809524,0.01370483924182571,0.13402471696482587,0.047619047619047616,1.0
11,0.16896551724137931,clip,369.23809523809524,2385.7619047619046,0.0,369.23809523809524,0.01370483924182571,0.13402471696482587,0.047619047619047616,1.0
13,0.1827586206896552,clip,369.23809523809524,2385.7619047619046,0.0,369.23809523809524,0.01370483924182571,0.13402471696482587,0.047619047619047616,1.0
15,0.19655172413793104,clip,369.23809523809524,2385.7619047619046,0.0,369.23809523809524,0.01370483924182571,0.13402471696482587,0.047619047619047616,1.0
17,0.21034482758620693,clip,369.23809523809524,2385.7619047619046,0.0,369.23809523809524,0.01370483924182571,0.13402471696482587,0.047619047619047616,1.0
19,0.22413793103448276,clip,369.23809523809524,2385.7619047619046,0.0,369.23809523809524,0.01370483924182571,0.13402471696482587,0.047619047619047616,1.0
21,0.23793103448275865,clip,369.23809523809524,2385.7619047619046,0.0,369.23809523809524,0.01370483924182571,0.13402471696482587,0.047619047619047616,1.0
23,0.25172413793103454,clip,369.23809523809524,2385.7619047619046,0.0,369.23809523809524,0.01370483924182571,0.13402471696482587,0.047619047619047616,1.0
25,0.2655172413793104,clip,369.23809523809524,2385.7619047619046,0.0,369.23809523809524,0.01370483924182571,0.13402471696482587,0.047619047619047616,1.0
27,0.2793103448275862,clip,369.23809523809524,2385.7619047619046,0.0,369.23809523809524,0.01370483924182571,0.13402471696482587,0.047619047619047616,1.0
29,0.2931034482758621,clip,369.23809523809524,2385.285714285714,0.0,369.23809523809524,0.013705587115189407,0.1340425095209143,0.047619047619047616,1.0
31,0.306896551724138,clip,369.23809523809524,2375.1428571428573,0.0,369.23809523809524,0.013715884883586694,0.13430563993013547,0.047619047619047616,1.0
33,0.3206896551724138,clip,369.04761904761904,2318.7619047619046,0.19047619047619047,369.23809523809524,0.013787019119024593,0.13609541207382217,0.04759448272473807,0.9997855912381429
35,0.33448275862068966,clip,367.3333333333333,2116.809523809524,1.9047619047619047,369.23809523809524,0.014107355560143928,0.14400686398689533,0.047373398675952194,0.9975029954679562
37,0.34827586206896555,clip,359.57142857142856,1736.5238095238096,9.666666666666666,369.23809523809524,0.01520021594661696,0.16683393261352922,0.046372379232838344,0.987821146639155
39,0.36206896551724144,clip,337.3333333333333,1193.047619047619,31.904761904761905,369.23809523809524,0.017517928605435013,0.21496075771510237,0.04350442782219929,0.9570169004828606
41,0.3758620689655173,clip,285.23809523809524,692.047619047619,84.0,369.23809523809524,0.021279758240109938,0.2927187747114228,0.03678592922853949,0.8599204563824612
43,0.3896551724137931,clip,211.52380952380952,342.3809523809524,157.71428571428572,369.23809523809524,0.027395355205980937,0.406643993087708,0.02727931513074665,0.7183488307760316
45,0.403448275862069,clip,122.38095238095238,144.04761904761904,246.85714285714286,369.23809523809524,0.02163447867031993,0.4915005920178307,0.015782944593880882,0.4512852915905639
47,0.4172413793103449,clip,11.666666666666666,11.380952380952381,357.57142857142856,369.23809523809524,0.02634345415791738,0.5854314710593056,0.001504599776459462,0.07657334535628577
49,0.4310344827586208,clip,2.1904761904761907,0.19047619047619047,367.04761904761904,369.23809523809524,0.00283739507869304,0.14169570267131243,0.0002824962845597356,0.02626476436478781
51,0.44482758620689655,clip,0.14285714285714285,0.0,369.0952380952381,369.23809523809524,0.0004974391097682302,0.047619047619047616,1.8423670732156674e-05,0.001763668430335097
53,0.45862068965517244,clip,0.0,0.0,369.23809523809524,369.23809523809524,0.0,0.0,0.0,0.0
55,0.47241379310344833,clip,0.0,0.0,369.23809523809524,369.23809523809524,0.0,0.0,0.0,0.0
57,0.4862068965517242,clip,0.0,0.0,369.23809523809524,369.23809523809524,0.0,0.0,0.0,0.0
59,0.5,clip,0.0,0.0,369.23809523809524,369.23809523809524,0.0,0.0,0.0,0.0
