,threshold,method,tp,fp,fn,actual_p,precision_micro,precision_macro,recall_micro,recall_macro
1,2,clip,111.61904761904762,150.76190476190476,257.6190476190476,369.23809523809524,0.02786538180736086,0.4305168887894905,0.01439502806539175,0.41680548945638224
3,6,clip,233.14285714285714,554.0,136.0952380952381,369.23809523809524,0.020288285887666156,0.287595263779807,0.030067430634879693,0.7328298924218102
5,10,clip,299.8095238095238,1012.0952380952381,69.42857142857143,369.23809523809524,0.018194110022860633,0.22985714158954718,0.03866514364321948,0.8888583662778066
7,14,clip,345.4761904761905,1491.1904761904761,23.761904761904763,369.23809523809524,0.01596465539272363,0.18249282982938525,0.044554577053932225,0.9662098048614345
9,18,clip,363.76190476190476,1997.6666666666667,5.476190476190476,369.23809523809524,0.014445701996030305,0.15062587042864764,0.04691280690764828,0.9889481008520717
11,22,clip,369.23809523809524,2385.7619047619046,0.0,369.23809523809524,0.01370483924182571,0.13402471696482587,0.047619047619047616,1.0
13,26,clip,369.23809523809524,2385.7619047619046,0.0,369.23809523809524,0.01370483924182571,0.13402471696482587,0.047619047619047616,1.0
15,30,clip,369.23809523809524,2385.7619047619046,0.0,369.23809523809524,0.01370483924182571,0.13402471696482587,0.047619047619047616,1.0
17,34,clip,369.23809523809524,2385.7619047619046,0.0,369.23809523809524,0.01370483924182571,0.13402471696482587,0.047619047619047616,1.0
19,38,clip,369.23809523809524,2385.7619047619046,0.0,369.23809523809524,0.01370483924182571,0.13402471696482587,0.047619047619047616,1.0
21,42,clip,369.23809523809524,2385.7619047619046,0.0,369.23809523809524,0.01370483924182571,0.13402471696482587,0.047619047619047616,1.0
23,46,clip,369.23809523809524,2385.7619047619046,0.0,369.23809523809524,0.01370483924182571,0.13402471696482587,0.047619047619047616,1.0
25,51,clip,369.23809523809524,2385.7619047619046,0.0,369.23809523809524,0.01370483924182571,0.13402471696482587,0.047619047619047616,1.0
27,55,clip,369.23809523809524,2385.7619047619046,0.0,369.23809523809524,0.01370483924182571,0.13402471696482587,0.047619047619047616,1.0
29,59,clip,369.23809523809524,2385.7619047619046,0.0,369.23809523809524,0.01370483924182571,0.13402471696482587,0.047619047619047616,1.0
31,63,clip,369.23809523809524,2385.7619047619046,0.0,369.23809523809524,0.01370483924182571,0.13402471696482587,0.047619047619047616,1.0
33,67,clip,369.23809523809524,2385.7619047619046,0.0,369.23809523809524,0.01370483924182571,0.13402471696482587,0.047619047619047616,1.0
35,71,clip,369.23809523809524,2385.7619047619046,0.0,369.23809523809524,0.01370483924182571,0.13402471696482587,0.047619047619047616,1.0
37,75,clip,369.23809523809524,2385.7619047619046,0.0,369.23809523809524,0.01370483924182571,0.13402471696482587,0.047619047619047616,1.0
39,79,clip,369.23809523809524,2385.7619047619046,0.0,369.23809523809524,0.01370483924182571,0.13402471696482587,0.047619047619047616,1.0
41,83,clip,369.23809523809524,2385.7619047619046,0.0,369.23809523809524,0.01370483924182571,0.13402471696482587,0.047619047619047616,1.0
43,87,clip,369.23809523809524,2385.7619047619046,0.0,369.23809523809524,0.01370483924182571,0.13402471696482587,0.047619047619047616,1.0
45,91,clip,369.23809523809524,2385.7619047619046,0.0,369.23809523809524,0.01370483924182571,0.13402471696482587,0.047619047619047616,1.0
47,95,clip,369.23809523809524,2385.7619047619046,0.0,369.23809523809524,0.01370483924182571,0.13402471696482587,0.047619047619047616,1.0
49,100,clip,369.23809523809524,2385.7619047619046,0.0,369.23809523809524,0.01370483924182571,0.13402471696482587,0.047619047619047616,1.0
