,threshold,method,tp,fp,fn,actual_p,precision_micro,precision_macro,recall_micro,recall_macro
0,0.1,sage,9.631201044386422,22546.524804177545,0.9680156657963447,10.599216710182768,4.2110063926399905e-06,0.00042382815527335397,0.0005931272967352151,0.6748227443834081
2,0.11379310344827587,sage,9.265665796344647,21756.21409921671,1.33355091383812,10.599216710182768,4.228548644072985e-06,0.0004248091039960718,0.0005706161963508219,0.6514742729115667
4,0.12758620689655173,sage,8.860313315926893,20944.650130548303,1.7389033942558747,10.599216710182768,4.215656072215206e-06,0.0004246112331211924,0.0005456529939602717,0.6251375905288069
6,0.1413793103448276,sage,8.456266318537859,20116.47584856397,2.1429503916449084,10.599216710182768,4.213481678002892e-06,0.000424613176481244,0.0005207701883568086,0.6003274181881753
8,0.15517241379310345,sage,8.009791122715404,19267.617493472586,2.589425587467363,10.599216710182768,4.18811710685388e-06,0.00042290294580947085,0.0004932744871730142,0.5766007467723266
10,0.16896551724137931,sage,7.551566579634465,18427.96409921671,3.047650130548303,10.599216710182768,4.156013134026354e-06,0.00041946904520674585,0.0004650552149054356,0.5518121414939356
12,0.1827586206896552,sage,7.184073107049608,17626.162532637074,3.4151436031331595,10.599216710182768,4.099637242090537e-06,0.00041400928188018414,0.0004424235193404119,0.5281881958677587
14,0.19655172413793104,sage,6.900783289817232,16852.19321148825,3.6984334203655354,10.599216710182768,4.120315383922235e-06,0.00041505460731588095,0.0004249774165425072,0.503266195494433
16,0.21034482758620693,sage,6.620757180156658,16100.375326370757,3.9784595300261096,10.599216710182768,4.049260449668479e-06,0.00040604262048627376,0.0004077323057123203,0.48079928560174706
18,0.22413793103448276,sage,6.363577023498695,15360.715404699738,4.235639686684073,10.599216710182768,3.999757419242497e-06,0.000401978206516206,0.0003918941386561581,0.4569140279386188
20,0.23793103448275865,sage,6.14556135770235,14625.204960835508,4.453655352480418,10.599216710182768,3.989584360894388e-06,0.0004004881276880989,0.00037846787521260926,0.4378544561432132
22,0.25172413793103454,sage,5.918407310704961,13890.564621409922,4.680809399477806,10.599216710182768,4.031534562927999e-06,0.0004024257846103639,0.00036447883425945064,0.41239677684268816
24,0.2655172413793104,sage,5.684073107049608,13169.546344647519,4.915143603133159,10.599216710182768,4.081190414538136e-06,0.0004055123992151757,0.00035004761097731305,0.3902801747468552
26,0.2793103448275862,sage,5.43798955613577,12472.383812010445,5.161227154046998,10.599216710182768,4.123644044071459e-06,0.00040907540231591236,0.0003348928166113912,0.3744497360005901
28,0.2931034482758621,sage,5.130548302872063,11806.248041775458,5.468668407310705,10.599216710182768,4.104482558138791e-06,0.00041061814225334985,0.0003159593732523748,0.350788201121495
30,0.306896551724138,sage,4.8244125326370755,11186.845300261097,5.7748041775456915,10.599216710182768,4.133438130570599e-06,0.00041281074350912975,0.0002971063266804456,0.33030112397702743
32,0.3206896551724138,sage,4.528720626631854,10624.486292428199,6.070496083550914,10.599216710182768,4.104344848721071e-06,0.00041343767913245053,0.0002788964544052133,0.31505330992060027
34,0.33448275862068966,sage,4.265013054830288,10117.595300261097,6.33420365535248,10.599216710182768,4.094491121358766e-06,0.00041279035933570037,0.0002626563034136154,0.29635961456232374
36,0.34827586206896555,sage,4.047650130548303,9665.344647519581,6.551566579634465,10.599216710182768,4.101054150179296e-06,0.0004126504648097445,0.0002492702383636102,0.2805329477582325
38,0.36206896551724144,sage,3.8590078328981723,9267.150783289817,6.740208877284595,10.599216710182768,4.1318420728614775e-06,0.00041285321481299137,0.00023765290262952167,0.26659523245523
40,0.3758620689655173,sage,3.6821148825065273,8914.57767624021,6.91710182767624,10.599216710182768,4.0864414559032095e-06,0.0004112739796477358,0.0002267591379792171,0.2561598802490258
42,0.3896551724137931,sage,3.5267624020887727,8598.580287206267,7.072454308093994,10.599216710182768,4.057798246543352e-06,0.0004067055712667379,0.00021719192031585,0.2463837448138251
44,0.403448275862069,sage,3.3903394255874675,8309.030678851175,7.2088772845953,10.599216710182768,4.046903043086432e-06,0.00040516038785958663,0.00020879045606524615,0.2362301771317646
46,0.4172413793103449,sage,3.268929503916449,8038.624020887729,7.330287206266319,10.599216710182768,4.01290394504409e-06,0.00039936895257243645,0.0002013135548661442,0.2293658884868169
48,0.4310344827586208,sage,3.1716710182767622,7782.560704960835,7.427545691906006,10.599216710182768,4.02407366185248e-06,0.00039883869327887115,0.00019532399422815387,0.2221051329558838
50,0.44482758620689655,sage,3.0783289817232378,7538.490861618799,7.52088772845953,10.599216710182768,4.022266576978093e-06,0.00039536600277776757,0.00018957562395142494,0.21555030650779838
52,0.45862068965517244,sage,2.9823759791122715,7306.988250652742,7.616840731070496,10.599216710182768,4.0451632775746444e-06,0.00039079074396308104,0.00018366646010052173,0.20841970927877285
54,0.47241379310344833,sage,2.912532637075718,7091.8028720626635,7.68668407310705,10.599216710182768,4.095993723014389e-06,0.00039678756823826445,0.0001793652319913609,0.2039851201039264
56,0.4862068965517242,sage,2.819190600522193,6893.771540469974,7.780026109660574,10.599216710182768,4.166318246473249e-06,0.00040297993492200123,0.00017361686171463194,0.1978415442538121
58,0.5,sage,2.7421671018276763,6715.291775456919,7.857049608355092,10.599216710182768,4.170986391018357e-06,0.00040679030634070457,0.00016887345127649192,0.19172263219578217
