,threshold,method,tp,fp,fn,actual_p,precision_micro,precision_macro,recall_micro,recall_macro
0,0.1,sage,345.1904761904762,2215.9523809523807,24.047619047619047,369.23809523809524,0.013736774769787902,0.13359576651178295,0.04451772971246791,0.9447879670312661
2,0.11379310344827587,sage,340.42857142857144,2173.2380952380954,28.80952380952381,369.23809523809524,0.013747666949760106,0.13379801162565194,0.04390360735472935,0.9324304171195328
4,0.12758620689655173,sage,333.7142857142857,2127.4761904761904,35.523809523809526,369.23809523809524,0.013742222485641513,0.13365419444157714,0.04303769483031799,0.9164887733832641
6,0.1413793103448276,sage,326.0952380952381,2082.9523809523807,43.142857142857146,369.23809523809524,0.013708771207531657,0.13307202459649442,0.0420550990579363,0.8957116180863519
8,0.15517241379310345,sage,318.04761904761904,2041.7142857142858,51.19047619047619,369.23809523809524,0.013653839765261718,0.1322315460701505,0.04101723227335814,0.8772221818484015
10,0.16896551724137931,sage,308.95238095238096,2001.047619047619,60.285714285714285,369.23809523809524,0.0135562931277213,0.13081180667667153,0.0398442585700775,0.8537677708874896
12,0.1827586206896552,sage,301.1904761904762,1957.6666666666667,68.04761904761905,369.23809523809524,0.013510819274180326,0.1298010116816246,0.03884323912696365,0.8320135747125363
14,0.19655172413793104,sage,293.5238095238095,1914.904761904762,75.71428571428571,369.23809523809524,0.013447857261986057,0.12877983888110756,0.03785450213100458,0.8124661969264309
16,0.21034482758620693,sage,288.04761904761904,1867.1904761904761,81.19047619047619,369.23809523809524,0.013475264640976255,0.12893106136268356,0.03714826141960524,0.798688767269523
18,0.22413793103448276,sage,281.85714285714283,1820.047619047619,87.38095238095238,369.23809523809524,0.01349156187123742,0.12866919951676442,0.03634990235454512,0.7818932204568031
20,0.23793103448275865,sage,277.0,1770.5714285714287,92.23809523809524,369.23809523809524,0.013543779942164158,0.12926195459981263,0.035723497549651796,0.7543345586137764
22,0.25172413793103454,sage,273.0952380952381,1723.0,96.14285714285714,369.23809523809524,0.013640101780405863,0.13008799674908533,0.03521991721630618,0.7419025586969304
24,0.2655172413793104,sage,268.42857142857144,1673.0,100.80952380952381,369.23809523809524,0.013732202234674126,0.13101123150600494,0.03461807730572239,0.7307601306726434
26,0.2793103448275862,sage,263.6190476190476,1625.7142857142858,105.61904761904762,369.23809523809524,0.013833060726564216,0.13176309774750955,0.033997813724406446,0.7178937837464827
28,0.2931034482758621,sage,259.4761904761905,1579.904761904762,109.76190476190476,369.23809523809524,0.013943852595523862,0.13298421645528377,0.03346352727317391,0.7084270379715472
30,0.306896551724138,sage,255.71428571428572,1535.5714285714287,113.52380952380952,369.23809523809524,0.014061596014920009,0.13450879200069027,0.03297837061056045,0.7002451504367219
32,0.3206896551724138,sage,252.76190476190476,1494.0,116.47619047619048,369.23809523809524,0.014211480847083144,0.13621810201389772,0.032597614748762535,0.6939626054456943
34,0.33448275862068966,sage,249.8095238095238,1453.4761904761904,119.42857142857143,369.23809523809524,0.014337283527221143,0.13778770297756435,0.03221685888696464,0.6881434946886751
36,0.34827586206896555,sage,246.1904761904762,1413.047619047619,123.04761904761905,369.23809523809524,0.014394936576236932,0.13885009292983033,0.03175012589508333,0.6793338318705506
38,0.36206896551724144,sage,243.28571428571428,1373.7619047619048,125.95238095238095,369.23809523809524,0.014476181117978801,0.14027053186281246,0.03137551125686281,0.6718272325601107
40,0.3758620689655173,sage,240.52380952380952,1332.142857142857,128.71428571428572,369.23809523809524,0.014596522276860086,0.14216861832118327,0.031019320289374458,0.6657974891779945
42,0.3896551724137931,sage,237.33333333333334,1293.142857142857,131.9047619047619,369.23809523809524,0.014721923786274096,0.14401661924680564,0.030607858309689626,0.6578819916955141
44,0.403448275862069,sage,233.95238095238096,1250.5714285714287,135.28571428571428,369.23809523809524,0.014876732999583267,0.14643873407389996,0.03017183143569525,0.650771647424697
46,0.4172413793103449,sage,231.1904761904762,1207.952380952381,138.04761904761904,369.23809523809524,0.01504117512694899,0.1495126651283031,0.029815640468206887,0.6449404116622828
48,0.4310344827586208,sage,227.85714285714286,1164.2857142857142,141.38095238095238,369.23809523809524,0.015160376573877057,0.1519567535597394,0.029385754817789895,0.6379359376168727
50,0.44482758620689655,sage,224.66666666666666,1117.4761904761904,144.57142857142858,369.23809523809524,0.01535922884753075,0.155565063527565,0.028974292838105063,0.6287273176893211
52,0.45862068965517244,sage,221.04761904761904,1073.142857142857,148.1904761904762,369.23809523809524,0.015504389060878062,0.1582114794801337,0.028507559846223763,0.6176843817418144
54,0.47241379310344833,sage,217.33333333333334,1028.4285714285713,151.9047619047619,369.23809523809524,0.015729060093808384,0.16262592334818024,0.02802854440718769,0.6086642562165308
56,0.4862068965517242,sage,213.33333333333334,982.4761904761905,155.9047619047619,369.23809523809524,0.01596456230811451,0.1671117511299093,0.027512681626687303,0.5974173195175412
58,0.5,sage,208.52380952380952,936.047619047619,160.71428571428572,369.23809523809524,0.01616626762804902,0.17126261493785708,0.026892418045371357,0.5863449899604433
