,threshold,method,tp,fp,fn,actual_p,precision_micro,precision_macro,recall_micro,recall_macro
0,0.1,sage,8.317885117493473,19469.68537859008,2.281331592689295,10.599216710182768,4.241699525057633e-06,0.00042787279542175525,0.0005122481289255741,0.5901410684541337
2,0.11379310344827587,sage,7.981070496083551,18613.445169712795,2.618146214099217,10.599216710182768,4.261891304326557e-06,0.00043132127601316103,0.0004915057578570977,0.5682708271041781
4,0.12758620689655173,sage,7.629895561357702,17792.25326370757,2.9693211488250655,10.599216710182768,4.285074191588654e-06,0.0004343288158247075,0.0004698790221306628,0.5384363774256781
6,0.1413793103448276,sage,7.26958224543081,17012.363577023498,3.3296344647519582,10.599216710182768,4.299021859837031e-06,0.00043669480348427375,0.0004476895088946181,0.5154896057527106
8,0.15517241379310345,sage,6.926892950391645,16285.01044386423,3.672323759791123,10.599216710182768,4.310514593951341e-06,0.0004396497044435284,0.00042658535228424956,0.49145891397042124
10,0.16896551724137931,sage,6.595953002610966,15621.110313315927,4.003263707571802,10.599216710182768,4.36409824242327e-06,0.0004420232560355761,0.00040620476675766497,0.4658369069301687
12,0.1827586206896552,sage,6.320496083550914,15019.279373368146,4.278720626631854,10.599216710182768,4.497630912046755e-06,0.00045235942924234685,0.0003892410446822832,0.4466981912911456
14,0.19655172413793104,sage,6.120757180156658,14472.135770234987,4.47845953002611,10.599216710182768,4.6904994648346154e-06,0.0004674772774542357,0.00037694033625795413,0.4310129578982291
16,0.21034482758620693,sage,5.934073107049608,13963.210835509139,4.665143603133159,10.599216710182768,4.762997401284813e-06,0.000468626751104085,0.0003654435957044961,0.41543634219632464
18,0.22413793103448276,sage,5.787859007832898,13474.546997389034,4.811357702349869,10.599216710182768,4.783963794508152e-06,0.0004728993274076879,0.0003564391555507389,0.3999987382811774
20,0.23793103448275865,sage,5.6475195822454305,12993.439295039165,4.9516971279373365,10.599216710182768,4.779334210309463e-06,0.00047492361636579015,0.00034779650093887365,0.3851350252457695
22,0.25172413793103454,sage,5.515665796344647,12513.211488250652,5.0835509138381205,10.599216710182768,4.803770346080492e-06,0.00047965241303383907,0.00033967642544307467,0.3717168070273741
24,0.2655172413793104,sage,5.379895561357702,12030.051566579634,5.219321148825065,10.599216710182768,4.836485976754773e-06,0.000484169177645721,0.0003313151595860145,0.35611792913485435
26,0.2793103448275862,sage,5.25,11541.43733681462,5.349216710182768,10.599216710182768,4.8847950818970905e-06,0.0004908472474426497,0.0003233156792708462,0.3398788357017899
28,0.2931034482758621,sage,5.069843342036553,11045.619451697128,5.5293733681462145,10.599216710182768,4.903299888678027e-06,0.0004934432199485268,0.00031222092265282387,0.3241517318094682
30,0.306896551724138,sage,4.874020887728459,10542.519582245432,5.7251958224543085,10.599216710182768,4.947549008143147e-06,0.0004944601107663229,0.00030016140458975603,0.30495376377856
32,0.3206896551724138,sage,4.6664490861618795,10038.172976501306,5.9327676240208875,10.599216710182768,5.013169821879146e-06,0.0004993825072949973,0.00028737831544290425,0.29019866493189544
34,0.33448275862068966,sage,4.447780678851175,9541.564621409922,6.151436031331593,10.599216710182768,5.0291627680915165e-06,0.0005011664453265398,0.000273911853605812,0.27476559250194116
36,0.34827586206896555,sage,4.223237597911227,9061.954308093995,6.375979112271541,10.599216710182768,5.057251636131233e-06,0.0005027166628505338,0.0002600836062268276,0.26063803571180405
38,0.36206896551724144,sage,3.9693211488250655,8602.736945169712,6.629895561357702,10.599216710182768,4.986198185154509e-06,0.000497701599016298,0.0002444464311383831,0.24630866382915398
40,0.3758620689655173,sage,3.7721932114882506,8162.988250652742,6.827023498694517,10.599216710182768,4.989345699870681e-06,0.0005014276244214541,0.00023230651628822823,0.23565921220866887
42,0.3896551724137931,sage,3.5815926892950394,7741.6351174934725,7.0176240208877285,10.599216710182768,5.007555733214345e-06,0.0005053820484139822,0.00022056858537350898,0.22377430299991063
44,0.403448275862069,sage,3.401436031331593,7335.8531331592685,7.197780678851175,10.599216710182768,4.986349680435641e-06,0.0005023954969210794,0.0002094738287554867,0.210856114758926
46,0.4172413793103449,sage,3.2219321148825064,6943.32180156658,7.377284595300261,10.599216710182768,4.995689064247517e-06,0.0005062548719734941,0.00019841927053100794,0.20059251164266767
48,0.4310344827586208,sage,3.0515665796344646,6562.287206266318,7.547650130548303,10.599216710182768,5.023035613379392e-06,0.0005105535240920549,0.000187927489816139,0.18765841183939835
50,0.44482758620689655,sage,2.8694516971279374,6195.539817232376,7.7297650130548305,10.599216710182768,5.0195533214034525e-06,0.0005062928146794878,0.000176712138017486,0.17427080758440253
52,0.45862068965517244,sage,2.7180156657963446,5844.460835509139,7.881201044386423,10.599216710182768,5.114064517178099e-06,0.0005161852075740739,0.0001673861107153803,0.16474509194727865
54,0.47241379310344833,sage,2.5718015665796345,5510.5881201044385,8.027415143603132,10.599216710182768,5.175611275426623e-06,0.0005245323384247005,0.000158381670561623,0.15510206761839826
56,0.4862068965517242,sage,2.4262402088772848,5192.624673629243,8.172976501305483,10.599216710182768,5.243992256768477e-06,0.0005358647312899931,0.00014941742880140933,0.1450262957098559
58,0.5,sage,2.2676240208877285,4891.593994778068,8.33159268929504,10.599216710182768,5.270438755222014e-06,0.00054050316294014,0.00013964921917032446,0.1353738110979999
