,threshold,method,tp,fp,fn,actual_p,precision_micro,precision_macro,recall_micro,recall_macro
0,0.1,sage,353.4761904761905,2271.5238095238096,15.761904761904763,369.23809523809524,0.013752158895284014,0.13467172586328427,0.045586302614933,0.9585696981867412
2,0.11379310344827587,sage,349.0,2240.809523809524,20.238095238095237,369.23809523809524,0.013750403021895943,0.13471347388696564,0.04500902759865876,0.9455193486863248
4,0.12758620689655173,sage,345.0952380952381,2210.809523809524,24.142857142857142,369.23809523809524,0.01376777067807674,0.13495748275854969,0.04450544726531314,0.9361025694703251
6,0.1413793103448276,sage,340.95238095238096,2178.3809523809523,28.285714285714285,369.23809523809524,0.013785227768496468,0.13511980570012436,0.043971160814080604,0.9241480723373743
8,0.15517241379310345,sage,336.6666666666667,2145.1428571428573,32.57142857142857,369.23809523809524,0.01378222279313244,0.13521748908268383,0.043418450692115904,0.9125446908231316
10,0.16896551724137931,sage,331.76190476190476,2111.095238095238,37.476190476190474,369.23809523809524,0.01378198230100217,0.1352455112179174,0.042785904663645194,0.898986141134543
12,0.1827586206896552,sage,325.8095238095238,2077.3333333333335,43.42857142857143,369.23809523809524,0.013768603833807517,0.13496315058504788,0.04201825171647199,0.8847732895258725
14,0.19655172413793104,sage,320.5238095238095,2045.952380952381,48.714285714285715,369.23809523809524,0.013797137779796634,0.13488454517673493,0.041336575899382194,0.8706785467466238
16,0.21034482758620693,sage,314.6666666666667,2014.142857142857,54.57142857142857,369.23809523809524,0.013783083166362836,0.13458631336015237,0.04058120539936377,0.8569016384296999
18,0.22413793103448276,sage,308.3333333333333,1981.142857142857,60.904761904761905,369.23809523809524,0.013732115398190062,0.13406640694759003,0.0397644226635715,0.8403409974551861
20,0.23793103448275865,sage,303.3809523809524,1947.095238095238,65.85714285714286,369.23809523809524,0.01376554495831967,0.13419547173400653,0.039125735411523394,0.8282271315524338
22,0.25172413793103454,sage,296.85714285714283,1908.4761904761904,72.38095238095238,369.23809523809524,0.0137745096791437,0.1340660167322801,0.03828438778142157,0.811790578940804
24,0.2655172413793104,sage,291.6190476190476,1871.3333333333333,77.61904761904762,369.23809523809524,0.013819717687626468,0.13435760732981963,0.037608853187909165,0.798197269680801
26,0.2793103448275862,sage,285.4761904761905,1832.5238095238096,83.76190476190476,369.23809523809524,0.013816761097401034,0.13426663174319714,0.03681663534642642,0.7831590456626817
28,0.2931034482758621,sage,278.6190476190476,1790.7142857142858,90.61904761904762,369.23809523809524,0.013795834717612523,0.13411749374580081,0.0359322991512829,0.7664746384441626
30,0.306896551724138,sage,271.0,1745.3333333333333,98.23809523809524,369.23809523809524,0.013791078025892826,0.1339960278148414,0.03494970337890121,0.7472116439742829
32,0.3206896551724138,sage,263.4761904761905,1697.6190476190477,105.76190476190476,369.23809523809524,0.013768320827633077,0.1338683942865845,0.03397939005367429,0.7272928946520262
34,0.33448275862068966,sage,256.8095238095238,1650.6666666666667,112.42857142857143,369.23809523809524,0.013801178730357149,0.1342368833100324,0.03311961875284032,0.7098701393619119
36,0.34827586206896555,sage,249.33333333333334,1603.7142857142858,119.9047619047619,369.23809523809524,0.01378414415829148,0.134038440972606,0.032155446651190786,0.6771850451812951
38,0.36206896551724144,sage,242.28571428571428,1553.904761904762,126.95238095238095,369.23809523809524,0.013815682548706456,0.13407213665903495,0.03124654556173772,0.6408483621376201
40,0.3758620689655173,sage,235.28571428571428,1500.5238095238096,133.95238095238096,369.23809523809524,0.013860919371455697,0.1346158291437273,0.030343785695862047,0.6224627584481223
42,0.3896551724137931,sage,227.33333333333334,1447.4285714285713,141.9047619047619,369.23809523809524,0.013888480817041318,0.13491537907750364,0.029318201358438656,0.6010389916293606
44,0.403448275862069,sage,218.42857142857142,1389.857142857143,150.8095238095238,369.23809523809524,0.013835848158188214,0.134504041979116,0.028169792549467557,0.5791000810641267
46,0.4172413793103449,sage,209.1904761904762,1328.857142857143,160.04761904761904,369.23809523809524,0.01385134426707482,0.13455904614854786,0.026978395175454757,0.5549699551423126
48,0.4310344827586208,sage,198.47619047619048,1264.142857142857,170.76190476190476,369.23809523809524,0.013836686613933578,0.13366469335510603,0.02559661987054301,0.5229383854932779
50,0.44482758620689655,sage,188.66666666666666,1195.5714285714287,180.57142857142858,369.23809523809524,0.013826679849823028,0.13370950188454347,0.024331527813601584,0.4957709598950026
52,0.45862068965517244,sage,177.8095238095238,1123.7619047619048,191.42857142857142,369.23809523809524,0.013816731920887717,0.13331353214482106,0.022931328837957676,0.46808509424184214
54,0.47241379310344833,sage,166.04761904761904,1049.0,203.1904761904762,369.23809523809524,0.013787883773223989,0.13304621239542821,0.021414446614343444,0.4376174205654027
56,0.4862068965517242,sage,155.04761904761904,973.4761904761905,214.1904761904762,369.23809523809524,0.013796626934928743,0.13311528833052005,0.01999582396796738,0.4075983332029091
58,0.5,sage,143.66666666666666,896.8095238095239,225.57142857142858,369.23809523809524,0.013764175657370861,0.13259777408809048,0.01852807153297223,0.37679316675713703
