,threshold,method,tp,fp,fn,actual_p,precision_micro,precision_macro,recall_micro,recall_macro
0,2,sage,17.857142857142858,244.52380952380952,351.3809523809524,369.23809523809524,0.0024458638149672794,0.07007106959034878,0.002302958841519584,0.09544438122284182
2,6,sage,77.61904761904762,709.5238095238095,291.6190476190476,369.23809523809524,0.01398277194116698,0.13668012697096985,0.010010194431138462,0.28920335648893813
4,10,sage,186.66666666666666,1125.2380952380952,182.57142857142858,369.23809523809524,0.013555303938376052,0.1318578284911847,0.02407359642335139,0.4732703221637603
6,14,sage,255.33333333333334,1581.3333333333333,113.9047619047619,369.23809523809524,0.013578933793422504,0.13218559088864262,0.03292924082194137,0.6844414975261149
8,18,sage,332.5238095238095,2028.904761904762,36.714285714285715,369.23809523809524,0.013699241293138034,0.13391535364988724,0.04288416424088336,0.8630198257119674
10,22,sage,369.23809523809524,2385.7619047619046,0.0,369.23809523809524,0.01370483924182571,0.13402471696482587,0.047619047619047616,1.0
12,26,sage,369.23809523809524,2385.7619047619046,0.0,369.23809523809524,0.01370483924182571,0.13402471696482587,0.047619047619047616,1.0
14,30,sage,369.23809523809524,2385.7619047619046,0.0,369.23809523809524,0.01370483924182571,0.13402471696482587,0.047619047619047616,1.0
16,34,sage,369.23809523809524,2385.7619047619046,0.0,369.23809523809524,0.01370483924182571,0.13402471696482587,0.047619047619047616,1.0
18,38,sage,369.23809523809524,2385.7619047619046,0.0,369.23809523809524,0.01370483924182571,0.13402471696482587,0.047619047619047616,1.0
20,42,sage,369.23809523809524,2385.7619047619046,0.0,369.23809523809524,0.01370483924182571,0.13402471696482587,0.047619047619047616,1.0
22,46,sage,369.23809523809524,2385.7619047619046,0.0,369.23809523809524,0.01370483924182571,0.13402471696482587,0.047619047619047616,1.0
24,51,sage,369.23809523809524,2385.7619047619046,0.0,369.23809523809524,0.01370483924182571,0.13402471696482587,0.047619047619047616,1.0
26,55,sage,369.23809523809524,2385.7619047619046,0.0,369.23809523809524,0.01370483924182571,0.13402471696482587,0.047619047619047616,1.0
28,59,sage,369.23809523809524,2385.7619047619046,0.0,369.23809523809524,0.01370483924182571,0.13402471696482587,0.047619047619047616,1.0
30,63,sage,369.23809523809524,2385.7619047619046,0.0,369.23809523809524,0.01370483924182571,0.13402471696482587,0.047619047619047616,1.0
32,67,sage,369.23809523809524,2385.7619047619046,0.0,369.23809523809524,0.01370483924182571,0.13402471696482587,0.047619047619047616,1.0
34,71,sage,369.23809523809524,2385.7619047619046,0.0,369.23809523809524,0.01370483924182571,0.13402471696482587,0.047619047619047616,1.0
36,75,sage,369.23809523809524,2385.7619047619046,0.0,369.23809523809524,0.01370483924182571,0.13402471696482587,0.047619047619047616,1.0
38,79,sage,369.23809523809524,2385.7619047619046,0.0,369.23809523809524,0.01370483924182571,0.13402471696482587,0.047619047619047616,1.0
40,83,sage,369.23809523809524,2385.7619047619046,0.0,369.23809523809524,0.01370483924182571,0.13402471696482587,0.047619047619047616,1.0
42,87,sage,369.23809523809524,2385.7619047619046,0.0,369.23809523809524,0.01370483924182571,0.13402471696482587,0.047619047619047616,1.0
44,91,sage,369.23809523809524,2385.7619047619046,0.0,369.23809523809524,0.01370483924182571,0.13402471696482587,0.047619047619047616,1.0
46,95,sage,369.23809523809524,2385.7619047619046,0.0,369.23809523809524,0.01370483924182571,0.13402471696482587,0.047619047619047616,1.0
48,100,sage,369.23809523809524,2385.7619047619046,0.0,369.23809523809524,0.01370483924182571,0.13402471696482587,0.047619047619047616,1.0
