,src_id,dst_id
0,230,64
0,230,1
0,230,67
0,230,72
0,230,78
0,230,82
0,230,84
0,230,85
0,230,86
0,230,62
0,376,23
0,723,64
0,723,65
0,723,84
0,723,62
0,815,8
0,815,3
0,815,13
0,867,88
0,867,65
0,876,1
0,876,35
0,893,82
0,893,79
0,963,40
0,963,1
0,963,37
0,976,1
0,976,43
0,1091,27
0,1091,1
0,1091,43
0,1091,31
0,1359,1
0,1359,9
0,1359,77
0,1359,16
0,1359,27
0,1359,31
0,1387,1
0,1387,85
0,1387,77
0,1444,1
0,1444,7
0,1516,51
0,1516,54
0,1581,1
0,1581,42
0,1594,72
0,1594,73
0,1594,74
0,1594,76
0,1623,8
0,1623,3
0,1675,1
0,1675,6
0,1766,17
0,1766,76
0,1852,1
0,1852,5
0,1909,24
0,2084,65
0,2084,67
0,2084,62
0,2097,32
0,2097,1
0,2097,10
0,2097,6
0,2240,51
0,2240,53
0,2244,1
0,2244,39
0,2248,67
0,2248,46
0,2248,47
0,2248,49
0,2248,61
0,2352,1
0,2352,42
0,2390,32
0,2390,1
0,2522,1
0,2522,67
0,2522,46
0,2522,47
0,2522,49
0,2522,50
0,2564,1
0,2564,35
0,2623,1
0,2623,35
0,2678,52
0,2678,60
0,2683,49
0,2683,67
0,2683,47
0,2776,1
0,2776,44
0,2776,46
0,2776,47
0,2776,31
0,3014,16
0,3014,9
0,3247,81
0,3247,1
0,3247,70
0,3346,27
0,3346,1
0,3346,35
0,3592,56
0,3592,51
0,3644,1
0,3644,41
0,3752,52
0,3752,47
0,3752,76
0,3936,67
0,3936,47
0,3936,48
0,3936,50
0,3936,56
0,3936,57
0,4025,1
0,4025,75
0,4025,46
0,4025,47
0,4025,63
0,4225,32
0,4225,1
0,4225,67
0,4225,46
0,4225,62
0,4486,32
0,4486,1
0,4586,72
0,4586,62
0,4586,63
0,4856,1
0,4856,42
0,4886,73
0,4886,17
0,4886,72
0,5092,1
0,5092,2
0,5092,31
0,5092,87
0,5128,1
0,5128,3
0,5128,6
0,5151,1
0,5151,77
0,5284,1
0,5284,42
0,5284,44
0,5568,5
0,5594,70
0,5620,1
0,5620,35
0,5677,1
0,5677,43
0,5691,50
0,5691,51
0,6083,20
0,6103,52
0,6131,8
0,6131,1
0,6131,3
0,6131,7
0,6304,81
0,6551,1
0,6551,42
0,6562,1
0,6562,39
0,6562,40
0,6562,44
0,6562,15
0,6705,53
0,6705,55
0,6814,8
0,6814,3
0,6814,6
0,6854,32
0,6854,1
0,6854,67
0,6854,72
